index,Notice Type,Posted Date/Time,Notice Effective Date/Time,Notice End Date/Time,Notice Identifier,Subject,Response Date/Time,unit
8,Capacity Constraint,10/23/2022 05:15:40 PM,10/24/2022 09:00:00 AM,10/25/2022 09:00:00 AM,126594,NEXUS Pipeline Conditions for 10/24/2022,,NXUS
9,Force Majeure,10/20/2022 02:26:00 PM,10/28/2022 09:00:00 AM,01/18/2023 02:26:00 PM,126455,NEXUS Force Majeure - TE Line 73 Valve Section 2 Unplanned Outage Notification,,NXUS
10,Capacity Constraint,10/20/2022 02:25:00 PM,10/28/2022 09:00:00 AM,11/14/2022 09:00:00 AM,126452,NEXUS - TE Line 73 Valve Section 2 Unplanned Outage,,NXUS
11,Computer System Status,10/14/2022 10:04:50 AM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,126217,Reminder: LINK System Maintenance this weekend (October 14 to October 17),,NXUS
12,Capacity Constraint,10/10/2022 01:34:51 PM,10/11/2022 09:00:00 AM,10/12/2022 09:00:00 AM,126032,Nexus Pipeline Conditions for 10/11/2022,,NXUS
13,Computer System Status,10/06/2022 02:28:06 PM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,125880,LINK System Maintenance the weekend of October 14th,,NXUS
14,Computer System Status,10/04/2022 07:49:45 AM,10/05/2022 05:00:00 AM,10/05/2022 10:00:00 AM,125779,"Reminder - Application Maintenance on Wednesday October 5, 2022",,NXUS
15,Force Majeure,10/01/2022 07:14:29 AM,10/01/2022 07:14:29 AM,12/30/2022 07:14:29 AM,125663,NEXUS - TE Line 73 Valve Section 1A Unplanned Outage -- COMPLETE,,NXUS
16,Capacity Constraint,09/30/2022 08:35:50 AM,09/30/2022 08:35:50 AM,12/29/2022 08:35:50 AM,125623,NEXUS - TE Line 73 Valve Section 1A Unplanned Outage -- UPDATE,,NXUS
17,Capacity Constraint,09/29/2022 02:55:00 PM,09/30/2022 09:00:00 AM,10/01/2022 09:00:00 AM,125603,NEXUS Pipeline Conditions for 9/30/2022,,NXUS
18,Capacity Constraint,09/28/2022 07:10:00 PM,09/28/2022 07:10:00 PM,12/27/2022 07:10:00 PM,125587,NEXUS - TE Line 73 Valve Section 1A Unplanned Outage -- UPDATE,,NXUS
19,Capacity Constraint,09/28/2022 02:11:29 PM,09/29/2022 09:00:00 AM,09/30/2022 09:00:00 AM,125560,NEXUS Pipeline Conditions for 9/29/2022,,NXUS
20,Capacity Constraint,09/27/2022 02:22:55 PM,09/28/2022 09:00:00 AM,09/29/2022 09:00:00 AM,125524,NEXUS Pipeline Conditions for 9/28/2022,,NXUS
21,Computer System Status,09/27/2022 01:36:32 PM,09/27/2022 01:36:32 PM,12/26/2022 01:36:32 PM,125507,"LINK Application Maintenance Postponed until October 5, 2022",,NXUS
22,Capacity Constraint,09/27/2022 07:56:12 AM,09/27/2022 07:56:12 AM,12/26/2022 07:56:12 AM,125489,NEXUS - TE Line 73 Valve Section 1A Unplanned Outage -- UPDATE,,NXUS
23,Computer System Status,09/26/2022 03:38:32 PM,09/26/2022 03:38:32 PM,12/25/2022 03:38:32 PM,125479,"Reminder about Application Maintenance on Wednesday September 28, 2022",,NXUS
24,Capacity Constraint,09/26/2022 02:20:37 PM,09/27/2022 09:00:00 AM,09/28/2022 09:00:00 AM,125444,NEXUS Pipeline Conditions for 9/27/2022,,NXUS
25,Capacity Constraint,09/26/2022 08:15:00 AM,09/26/2022 08:15:00 AM,12/25/2022 08:15:00 AM,125436,NEXUS - TE Line 73 Valve Section 1A Unplanned Outage -- UPDATE,,NXUS
26,Capacity Constraint,09/25/2022 02:32:27 PM,09/26/2022 09:00:00 AM,09/27/2022 09:00:00 AM,125413,NEXUS Pipeline Conditions for 9/26/2022,,NXUS
27,Capacity Constraint,09/24/2022 02:36:25 PM,09/25/2022 09:00:00 AM,09/26/2022 09:00:00 AM,125385,NEXUS Pipeline Conditions for 9/25/2022,,NXUS
28,Capacity Constraint,09/23/2022 02:48:00 PM,09/24/2022 09:00:00 AM,09/25/2022 09:00:00 AM,125355,NEXUS Pipeline Conditions for 9/24/2022,,NXUS
29,Capacity Constraint,09/22/2022 02:47:00 PM,09/23/2022 09:00:00 AM,09/24/2022 09:00:00 AM,125325,NEXUS Pipeline Conditions for 9/23/2022,,NXUS
30,Capacity Constraint,09/21/2022 06:34:18 PM,09/21/2022 06:34:18 PM,12/20/2022 06:34:18 PM,125314,NEXUS - TE Line 73 Valve Section 1A Unplanned Outage -- UPDATE,,NXUS
31,Capacity Constraint,09/21/2022 02:12:53 PM,09/22/2022 09:00:00 AM,09/23/2022 09:00:00 AM,125289,NEXUS Pipeline Conditions for 9/22/2022,,NXUS
32,Capacity Constraint,09/20/2022 06:22:04 PM,09/21/2022 09:00:00 AM,09/22/2022 09:00:00 AM,125280,NEXUS Pipeline Conditions for 9/21/2022 -- INTRADAY,,NXUS
33,Capacity Constraint,09/20/2022 06:17:44 PM,09/20/2022 06:17:44 PM,09/21/2022 09:00:00 AM,125279,NEXUS Pipeline Conditions for 9/20/2022 -- INTRADAY,,NXUS
34,Force Majeure,09/20/2022 05:50:04 PM,09/20/2022 05:50:04 PM,12/19/2022 05:49:04 PM,125277,NEXUS Force Majeure - TE Line 73 Valve Section 1A Unplanned Outage Noficiation,,NXUS
35,Computer System Status,09/12/2022 07:11:29 AM,09/12/2022 07:11:29 AM,12/11/2022 07:11:29 AM,124945,"Changes to LINK System Maintenance for the week of September 12, 2022",,NXUS
36,Capacity Constraint,09/07/2022 01:15:00 PM,09/07/2022 01:15:00 PM,12/06/2022 01:15:00 PM,124761,NEXUS Update - DTE Unplanned Maintenance -- COMPLETE,,NXUS
37,Computer System Status,09/01/2022 08:45:25 AM,09/01/2022 08:45:25 AM,11/30/2022 08:45:25 AM,124564,Application Maintenance on September 14,,NXUS
38,Computer System Status,08/18/2022 07:14:34 AM,08/18/2022 07:14:34 AM,11/16/2022 07:14:34 AM,124069,LINK System Maintenance the weekend of September 16th,,NXUS
39,Planned Service Outage,08/11/2022 10:16:00 AM,08/11/2022 10:16:00 AM,11/09/2022 10:16:00 AM,123796,NEXUS Outage Schedule -- UPDATE,,NXUS
40,Capacity Constraint,08/11/2022 10:02:00 AM,08/11/2022 10:02:00 AM,11/09/2022 10:02:00 AM,123795,NEXUS Outage Schedule -- UPDATE,,NXUS
0,Capacity Constraint,10/31/2022 03:58:00 PM,11/01/2022 09:00:00 AM,11/02/2022 09:00:00 AM,126910,SESH Pipeline Conditions for 11/1/2022,,SESH
1,Capacity Constraint,10/30/2022 02:59:53 PM,10/31/2022 09:00:00 AM,11/01/2022 09:00:00 AM,126861,SESH Pipeline Conditions for 10/31/2022,,SESH
2,Capacity Constraint,10/29/2022 03:09:59 PM,10/30/2022 09:00:00 AM,10/31/2022 09:00:00 AM,126838,SESH Pipeline Conditions for 10/30/2022,,SESH
3,Capacity Constraint,10/28/2022 03:07:00 PM,10/29/2022 09:00:00 AM,10/30/2022 09:00:00 AM,126799,SESH Pipeline Conditions for 10/29/2022,,SESH
4,Capacity Constraint,10/27/2022 02:47:00 PM,10/28/2022 09:00:00 AM,10/29/2022 09:00:00 AM,126751,SESH Pipeline Conditions for 10/28/2022,,SESH
5,Capacity Constraint,10/26/2022 02:40:00 PM,10/27/2022 09:00:00 AM,10/28/2022 09:00:00 AM,126711,SESH Pipeline Conditions for 10/27/2022,,SESH
6,Capacity Constraint,10/25/2022 03:41:34 PM,10/26/2022 09:00:00 AM,10/27/2022 09:00:00 AM,126668,SESH Pipeline Conditions for 10/26/2022,,SESH
7,Capacity Constraint,10/24/2022 03:01:41 PM,10/25/2022 09:00:00 AM,10/26/2022 09:00:00 AM,126615,SESH Pipeline Conditions for 10/25/2022,,SESH
8,Capacity Constraint,10/23/2022 03:33:04 PM,10/24/2022 09:00:00 AM,10/25/2022 09:00:00 AM,126587,SESH Pipeline Conditions for 10/24/2022,,SESH
9,Capacity Constraint,10/22/2022 02:24:53 PM,10/23/2022 09:00:00 AM,10/24/2022 09:00:00 AM,126536,SESH Pipeline Conditions for 10/23/2022,,SESH
10,Capacity Constraint,10/21/2022 03:34:00 PM,10/22/2022 09:00:00 AM,10/23/2022 09:00:00 AM,126518,SESH Pipeline Conditions for 10/22/2022,,SESH
11,Capacity Constraint,10/20/2022 04:07:00 PM,10/21/2022 09:00:00 AM,10/22/2022 09:00:00 AM,126479,SESH Pipeline Conditions for 10/21/2022,,SESH
12,Capacity Constraint,10/19/2022 04:16:00 PM,10/20/2022 09:00:00 AM,10/21/2022 09:00:00 AM,126438,SESH Pipeline Conditions for 10/20/2022,,SESH
13,Capacity Constraint,10/18/2022 02:53:23 PM,10/19/2022 09:00:00 AM,10/20/2022 09:00:00 AM,126387,SESH Pipeline Conditions for 10/19/2022,,SESH
14,Capacity Constraint,10/17/2022 02:20:28 PM,10/18/2022 09:00:00 AM,10/19/2022 09:00:00 AM,126328,SESH Pipeline Conditions for 10/18/2022,,SESH
15,Capacity Constraint,10/16/2022 03:06:14 PM,10/17/2022 09:00:00 AM,10/18/2022 09:00:00 AM,126302,SESH Pipeline Conditions for 10/17/2022,,SESH
16,Capacity Constraint,10/15/2022 02:29:14 PM,10/16/2022 09:00:00 AM,10/17/2022 09:00:00 AM,126265,SESH Pipeline Conditions for 10/16/2022,,SESH
17,Capacity Constraint,10/14/2022 02:33:00 PM,10/15/2022 09:00:00 AM,10/16/2022 09:00:00 AM,126228,SESH Pipeline Conditions for 10/15/2022,,SESH
18,Computer System Status,10/14/2022 10:04:50 AM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,126218,Reminder: LINK System Maintenance this weekend (October 14 to October 17),,SESH
19,Capacity Constraint,10/13/2022 02:08:08 PM,10/14/2022 09:00:00 AM,10/15/2022 09:00:00 AM,126174,SESH Pipeline Conditions for 10/14/2022,,SESH
20,Capacity Constraint,10/12/2022 02:48:01 PM,10/13/2022 09:00:00 AM,10/14/2022 09:00:00 AM,126140,SESH Pipeline Conditions for 10/13/2022,,SESH
21,Capacity Constraint,10/11/2022 02:36:16 PM,10/12/2022 09:00:00 AM,10/13/2022 09:00:00 AM,126110,SESH Pipeline Conditions for 10/12/2022,,SESH
22,Capacity Constraint,10/10/2022 03:28:20 PM,10/11/2022 09:00:00 AM,10/12/2022 09:00:00 AM,126055,SESH Pipeline Conditions for 10/11/2022,,SESH
23,Capacity Constraint,10/09/2022 03:39:03 PM,10/10/2022 09:00:00 AM,10/11/2022 09:00:00 AM,126010,SESH Pipeline Conditions for 10/10/2022,,SESH
24,Capacity Constraint,10/08/2022 03:20:20 PM,10/09/2022 09:00:00 AM,10/10/2022 09:00:00 AM,125977,SESH Pipeline Conditions for 10/9/2022,,SESH
25,Capacity Constraint,10/07/2022 03:00:00 PM,10/08/2022 09:00:00 AM,10/09/2022 09:00:00 AM,125924,SESH Pipeline Conditions for 10/8/2022,,SESH
26,Capacity Constraint,10/06/2022 03:07:52 PM,10/07/2022 09:00:00 AM,10/08/2022 09:00:00 AM,125903,SESH Pipeline Conditions for 10/7/2022,,SESH
27,Computer System Status,10/06/2022 02:28:06 PM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,125881,LINK System Maintenance the weekend of October 14th,,SESH
28,Capacity Constraint,10/05/2022 03:45:00 PM,10/06/2022 09:00:00 AM,10/07/2022 09:00:00 AM,125850,SESH Pipeline Conditions for 10/6/2022,,SESH
29,Capacity Constraint,10/04/2022 03:16:00 PM,10/05/2022 09:00:00 AM,10/06/2022 09:00:00 AM,125812,SESH Pipeline Conditions for 10/5/2022,,SESH
30,Computer System Status,10/04/2022 07:49:45 AM,10/05/2022 05:00:00 AM,10/05/2022 10:00:00 AM,125780,"Reminder - Application Maintenance on Wednesday October 5, 2022",,SESH
31,Capacity Constraint,10/03/2022 02:34:00 PM,10/04/2022 09:00:00 AM,10/05/2022 09:00:00 AM,125741,SESH Pipeline Conditions for 10/4/2022,,SESH
32,Capacity Constraint,10/02/2022 03:31:13 PM,10/03/2022 09:00:00 AM,10/04/2022 09:00:00 AM,125719,SESH Pipeline Conditions for 10/3/2022,,SESH
33,Capacity Constraint,10/01/2022 03:08:22 PM,10/02/2022 09:00:00 AM,10/03/2022 09:00:00 AM,125684,SESH Pipeline Conditions for 10/2/2022,,SESH
34,Capacity Constraint,09/30/2022 03:30:00 PM,10/01/2022 09:00:00 AM,10/02/2022 09:00:00 AM,125647,SESH Pipeline Conditions for 10/1/2022,,SESH
35,Capacity Constraint,09/29/2022 02:52:00 PM,09/30/2022 09:00:00 AM,10/01/2022 09:00:00 AM,125601,SESH Pipeline Conditions for 9/30/2022,,SESH
36,Capacity Constraint,09/28/2022 03:04:13 PM,09/29/2022 09:00:00 AM,09/30/2022 09:00:00 AM,125566,SESH Pipeline Conditions for 9/29/2022,,SESH
37,Capacity Constraint,09/28/2022 03:04:13 PM,09/29/2022 09:00:00 AM,09/30/2022 09:00:00 AM,125567,SESH Pipeline Conditions for 9/29/2022,,SESH
38,Capacity Constraint,09/27/2022 02:19:35 PM,09/28/2022 09:00:00 AM,09/29/2022 09:00:00 AM,125521,SESH Pipeline Conditions for 9/28/2022,,SESH
39,Computer System Status,09/27/2022 01:36:32 PM,09/27/2022 01:36:32 PM,12/26/2022 01:36:32 PM,125508,"LINK Application Maintenance Postponed until October 5, 2022",,SESH
40,Computer System Status,09/26/2022 03:38:32 PM,09/26/2022 03:38:32 PM,12/25/2022 03:38:32 PM,125480,"Reminder about Application Maintenance on Wednesday September 28, 2022",,SESH
41,Capacity Constraint,09/26/2022 02:38:00 PM,09/27/2022 09:00:00 AM,09/28/2022 09:00:00 AM,125448,SESH Pipeline Conditions for 9/27/2022,,SESH
42,Capacity Constraint,09/25/2022 02:34:01 PM,09/26/2022 09:00:00 AM,09/27/2022 09:00:00 AM,125414,SESH Pipeline Conditions for 9/26/2022,,SESH
43,Capacity Constraint,09/24/2022 02:37:54 PM,09/25/2022 09:00:00 AM,09/26/2022 09:00:00 AM,125386,SESH Pipeline Conditions for 9/25/2022,,SESH
44,Capacity Constraint,09/23/2022 02:59:00 PM,09/24/2022 09:00:00 AM,09/25/2022 09:00:00 AM,125361,SESH Pipeline Conditions for 9/24/2022,,SESH
45,Capacity Constraint,09/22/2022 03:12:00 PM,09/23/2022 09:00:00 AM,09/24/2022 09:00:00 AM,125345,SESH Pipeline Conditions for 9/23/2022,,SESH
46,Capacity Constraint,09/21/2022 02:38:00 PM,09/22/2022 09:00:00 AM,09/23/2022 09:00:00 AM,125293,SESH Pipeline Conditions for 9/22/2022,,SESH
47,Capacity Constraint,09/20/2022 02:37:00 PM,09/21/2022 09:00:00 AM,09/22/2022 09:00:00 AM,125253,SESH Pipeline Conditions for 9/21/2022,,SESH
48,Capacity Constraint,09/19/2022 02:07:56 PM,09/20/2022 09:00:00 AM,09/21/2022 09:00:00 AM,125222,SESH Pipeline Conditions for 9/20/2022,,SESH
49,Capacity Constraint,09/18/2022 03:10:37 PM,09/19/2022 09:00:00 AM,09/20/2022 09:00:00 AM,125208,SESH Pipeline Conditions for 9/19/2022,,SESH
50,Capacity Constraint,09/17/2022 03:27:33 PM,09/18/2022 09:00:00 AM,09/19/2022 09:00:00 AM,125180,SESH Pipeline Conditions for 9/18/2022,,SESH
51,Capacity Constraint,09/16/2022 02:21:17 PM,09/17/2022 09:00:00 AM,09/18/2022 09:00:00 AM,125134,SESH Pipeline Conditions for 9/17/2022,,SESH
52,Capacity Constraint,09/15/2022 02:08:40 PM,09/16/2022 09:00:00 AM,09/17/2022 09:00:00 AM,125104,SESH Pipeline Conditions for 9/16/2022,,SESH
53,Capacity Constraint,09/14/2022 02:25:34 PM,09/15/2022 09:00:00 AM,09/16/2022 09:00:00 AM,125079,SESH Pipeline Conditions for 9/15/2022,,SESH
54,Capacity Constraint,09/13/2022 02:29:54 PM,09/14/2022 09:00:00 AM,09/15/2022 09:00:00 AM,125043,SESH Pipeline Conditions for 9/14/2022,,SESH
55,Capacity Constraint,09/13/2022 11:34:24 AM,09/13/2022 11:34:24 AM,09/14/2022 09:00:00 AM,125033,SESH Pipeline Conditions for 9/13/2022 -- INTRADAY,,SESH
56,Capacity Constraint,09/12/2022 02:55:00 PM,09/13/2022 09:00:00 AM,09/14/2022 09:00:00 AM,124968,SESH Pipeline Conditions for 9/13/2022,,SESH
57,Computer System Status,09/12/2022 07:11:29 AM,09/12/2022 07:11:29 AM,12/11/2022 07:11:29 AM,124946,"Changes to LINK System Maintenance for the week of September 12, 2022",,SESH
58,Capacity Constraint,09/11/2022 03:12:45 PM,09/12/2022 09:00:00 AM,09/13/2022 09:00:00 AM,124925,SESH Pipeline Conditions for 9/12/2022,,SESH
59,Capacity Constraint,09/10/2022 02:49:04 PM,09/11/2022 09:00:00 AM,09/12/2022 09:00:00 AM,124886,SESH Pipeline Conditions for 9/11/2022,,SESH
60,Capacity Constraint,09/09/2022 02:31:22 PM,09/10/2022 09:00:00 AM,09/11/2022 09:00:00 AM,124837,SESH Pipeline Conditions for 9/10/2022,,SESH
61,Capacity Constraint,09/08/2022 02:45:43 PM,09/09/2022 09:00:00 AM,09/10/2022 09:00:00 AM,124807,SESH Pipeline Conditions for 9/9/2022,,SESH
62,Capacity Constraint,09/07/2022 03:07:00 PM,09/08/2022 09:00:00 AM,09/09/2022 09:00:00 AM,124785,SESH Pipeline Conditions for 9/8/2022,,SESH
63,Capacity Constraint,09/06/2022 02:38:33 PM,09/07/2022 09:00:00 AM,09/08/2022 09:00:00 AM,124739,SESH Pipeline Conditions for 9/7/2022,,SESH
64,Capacity Constraint,09/05/2022 03:01:01 PM,09/06/2022 09:00:00 AM,09/07/2022 09:00:00 AM,124704,SESH Pipeline Conditions for 9/6/2022,,SESH
65,Capacity Constraint,09/04/2022 02:43:43 PM,09/05/2022 09:00:00 AM,09/06/2022 09:00:00 AM,124674,SESH Pipeline Conditions for 9/5/2022,,SESH
66,Capacity Constraint,09/03/2022 02:56:43 PM,09/04/2022 09:00:00 AM,09/05/2022 02:56:43 PM,124650,SESH Pipeline Conditions for 9/4/2022,,SESH
67,Capacity Constraint,09/02/2022 02:57:08 PM,09/03/2022 09:00:00 AM,09/04/2022 09:00:00 AM,124612,SESH Pipeline Conditions for 9/3/2022,,SESH
68,Capacity Constraint,09/01/2022 02:17:52 PM,09/02/2022 09:00:00 AM,09/03/2022 09:00:00 AM,124582,SESH Pipeline Conditions for 9/2/2022,,SESH
69,Computer System Status,09/01/2022 08:45:25 AM,09/01/2022 08:45:25 AM,11/30/2022 08:45:25 AM,124565,Application Maintenance on September 14,,SESH
70,Capacity Constraint,08/31/2022 02:48:14 PM,09/01/2022 09:00:00 AM,09/02/2022 09:00:00 AM,124519,SESH Pipeline Conditions for 9/1/2022,,SESH
71,Capacity Constraint,08/30/2022 02:18:29 PM,08/31/2022 09:00:00 AM,09/01/2022 09:00:00 AM,124487,SESH Pipeline Conditions for 8/31/2022,,SESH
72,Capacity Constraint,08/29/2022 02:28:43 PM,08/30/2022 09:00:00 AM,08/31/2022 09:00:00 AM,124451,SESH Pipeline Conditions for 8/30/2022,,SESH
73,Capacity Constraint,08/28/2022 03:21:11 PM,08/29/2022 09:00:00 AM,08/30/2022 09:00:00 AM,124410,SESH Pipeline Conditions for 8/29/2022,,SESH
74,Capacity Constraint,08/27/2022 03:26:03 PM,08/28/2022 09:00:00 AM,08/29/2022 09:00:00 AM,124387,SESH Pipeline Conditions for 8/28/2022,,SESH
75,Capacity Constraint,08/26/2022 03:04:00 PM,08/27/2022 09:00:00 AM,08/28/2022 09:00:00 AM,124359,SESH Pipeline Conditions for 8/27/2022,,SESH
76,Capacity Constraint,08/25/2022 02:40:57 PM,08/26/2022 09:00:00 AM,08/27/2022 09:00:00 AM,124318,SESH Pipeline Conditions for 8/26/2022,,SESH
77,Capacity Constraint,08/24/2022 02:33:06 PM,08/25/2022 09:00:00 AM,08/26/2022 09:00:00 AM,124275,SESH Pipeline Conditions for 8/25/2022,,SESH
78,Capacity Constraint,08/23/2022 02:30:21 PM,08/24/2022 09:00:00 AM,08/25/2022 09:00:00 AM,124247,SESH Pipeline Conditions for 8/24/2022,,SESH
79,Capacity Constraint,08/22/2022 02:51:00 PM,08/23/2022 09:00:00 AM,08/24/2022 09:00:00 AM,124212,SESH Pipeline Conditions for 8/23/2022,,SESH
80,Capacity Constraint,08/21/2022 02:53:12 PM,08/22/2022 09:00:00 AM,08/23/2022 09:00:00 AM,124182,SESH Pipeline Conditions for 8/22/2022,,SESH
81,Capacity Constraint,08/20/2022 03:11:20 PM,08/21/2022 09:00:00 AM,08/22/2022 09:00:00 AM,124166,SESH Pipeline Conditions for 8/21/2022,,SESH
82,Capacity Constraint,08/19/2022 03:32:00 PM,08/20/2022 09:00:00 AM,08/21/2022 09:00:00 AM,124143,SESH Pipeline Conditions for 8/20/2022,,SESH
83,Capacity Constraint,08/18/2022 02:26:48 PM,08/19/2022 09:00:00 AM,08/20/2022 09:00:00 AM,124095,SESH Pipeline Conditions for 8/19/2022,,SESH
84,Computer System Status,08/18/2022 07:14:34 AM,08/18/2022 07:14:34 AM,11/16/2022 07:14:34 AM,124070,LINK System Maintenance the weekend of September 16th,,SESH
85,Capacity Constraint,08/17/2022 02:40:37 PM,08/18/2022 09:00:00 AM,08/19/2022 09:00:00 AM,124037,SESH Pipeline Conditions for 8/18/2022,,SESH
86,Capacity Constraint,08/16/2022 02:47:57 PM,08/17/2022 09:00:00 AM,08/18/2022 09:00:00 AM,123959,SESH Pipeline Conditions for 8/17/2022,,SESH
87,Capacity Constraint,08/15/2022 02:21:00 PM,08/16/2022 09:00:00 AM,08/17/2022 09:00:00 AM,123929,SESH Pipeline Conditions for 8/16/2022,,SESH
88,Capacity Constraint,08/14/2022 02:48:52 PM,08/15/2022 09:00:00 AM,08/16/2022 09:00:00 AM,123902,SESH Pipeline Conditions for 8/15/2022,,SESH
89,Capacity Constraint,08/13/2022 02:50:52 PM,08/14/2022 09:00:00 AM,08/15/2022 09:00:00 AM,123873,SESH Pipeline Conditions for 8/14/2022,,SESH
90,Capacity Constraint,08/12/2022 03:28:29 PM,08/13/2022 09:00:00 AM,08/14/2022 09:00:00 AM,123864,SESH Pipeline Conditions for 8/13/2022,,SESH
91,Capacity Constraint,08/11/2022 03:04:00 PM,08/12/2022 09:00:00 AM,08/13/2022 09:00:00 AM,123817,SESH Pipeline Conditions for 8/12/2022,,SESH
92,Capacity Constraint,08/10/2022 03:26:00 PM,08/11/2022 09:00:00 AM,08/12/2022 09:00:00 AM,123790,SESH Pipeline Conditions for 8/11/2022,,SESH
93,Capacity Constraint,08/09/2022 03:26:00 PM,08/10/2022 09:00:00 AM,08/11/2022 09:00:00 AM,123745,SESH Pipeline Conditions for 8/10/2022,,SESH
94,Capacity Constraint,08/08/2022 02:33:51 PM,08/09/2022 09:00:00 AM,08/10/2022 09:00:00 AM,123698,SESH Pipeline Conditions for 8/9/2022,,SESH
95,Capacity Constraint,08/07/2022 03:08:14 PM,08/08/2022 09:00:00 AM,08/09/2022 09:00:00 AM,123682,SESH Pipeline Conditions for 8/8/2022,,SESH
96,Capacity Constraint,08/06/2022 03:40:50 PM,08/07/2022 09:00:00 AM,08/08/2022 09:00:00 AM,123654,SESH Pipeline Conditions for 8/7/2022,,SESH
97,Capacity Constraint,08/05/2022 03:39:23 PM,08/06/2022 09:00:00 AM,08/07/2022 09:00:00 AM,123627,SESH Pipeline Conditions for 8/6/2022,,SESH
98,Capacity Constraint,08/04/2022 02:25:24 PM,08/05/2022 09:00:00 AM,08/06/2022 09:00:00 AM,123576,SESH Pipeline Conditions for 8/5/2022,,SESH
99,Capacity Constraint,08/03/2022 02:23:00 PM,08/04/2022 09:00:00 AM,08/05/2022 09:00:00 AM,123544,SESH Pipeline Conditions for 8/4/2022,,SESH
0,Capacity Constraint,10/31/2022 03:52:00 PM,11/01/2022 09:00:00 AM,11/02/2022 09:00:00 AM,126908,SGSC Storage Conditions for 11/1/2022,,SG
1,Capacity Constraint,10/30/2022 02:30:00 PM,10/31/2022 09:00:00 AM,11/01/2022 09:00:00 AM,126846,SGSC Storage Conditions for 10/31/2022,,SG
2,Capacity Constraint,10/29/2022 02:30:00 PM,10/30/2022 09:00:00 AM,10/31/2022 09:00:00 AM,126812,SGSC Storage Conditions for 10/30/2022,,SG
3,Capacity Constraint,10/28/2022 02:53:38 PM,10/29/2022 09:00:00 AM,10/30/2022 09:00:00 AM,126785,SGSC Storage Conditions for 10/29/2022,,SG
4,Capacity Constraint,10/27/2022 02:27:52 PM,10/28/2022 09:00:00 AM,10/29/2022 09:00:00 AM,126746,SGSC Storage Conditions for 10/28/2022,,SG
5,Capacity Constraint,10/26/2022 02:25:26 PM,10/27/2022 09:00:00 AM,10/28/2022 09:00:00 AM,126702,SGSC Storage Conditions for 10/27/2022,,SG
6,Capacity Constraint,10/25/2022 02:35:00 PM,10/26/2022 09:00:00 AM,10/27/2022 09:00:00 AM,126655,SGSC Storage Conditions for 10/26/2022,,SG
7,Capacity Constraint,10/24/2022 03:04:14 PM,10/25/2022 09:00:00 AM,10/26/2022 09:00:00 AM,126617,SGSC Storage Conditions for 10/25/2022,,SG
8,Capacity Constraint,10/23/2022 03:23:56 PM,10/24/2022 09:00:00 AM,10/25/2022 09:00:00 AM,126582,SGSC Storage Conditions for 10/24/2022,,SG
9,Capacity Constraint,10/22/2022 02:11:14 PM,10/23/2022 09:00:00 AM,10/24/2022 09:00:00 AM,126532,SGSC Storage Conditions for 10/23/2022,,SG
10,Capacity Constraint,10/21/2022 02:31:55 PM,10/22/2022 09:00:00 AM,10/23/2022 09:00:00 AM,126502,SGSC Storage Conditions for 10/22/2022,,SG
11,Capacity Constraint,10/20/2022 03:49:17 PM,10/21/2022 09:00:00 AM,10/22/2022 09:00:00 AM,126476,SGSC Storage Conditions for 10/21/2022,,SG
12,Capacity Constraint,10/19/2022 03:20:37 PM,10/20/2022 09:00:00 AM,10/21/2022 09:00:00 AM,126434,SGSC Storage Conditions for 10/20/2022,,SG
13,Capacity Constraint,10/18/2022 02:43:00 PM,10/19/2022 09:00:00 AM,10/20/2022 09:00:00 AM,126384,SGSC Storage Conditions for 10/19/2022,,SG
14,Capacity Constraint,10/17/2022 02:24:00 PM,10/18/2022 09:00:00 AM,10/19/2022 09:00:00 AM,126331,SGSC Storage Conditions for 10/18/2022,,SG
15,Capacity Constraint,10/16/2022 03:03:01 PM,10/17/2022 09:00:00 AM,10/18/2022 09:00:00 AM,126300,SGSC Storage Conditions for 10/17/2022,,SG
16,Capacity Constraint,10/15/2022 02:33:19 PM,10/16/2022 09:00:00 AM,10/17/2022 09:00:00 AM,126268,SGSC Storage Conditions for 10/16/2022,,SG
17,Capacity Constraint,10/14/2022 02:48:10 PM,10/15/2022 09:00:00 AM,10/16/2022 09:00:00 AM,126234,SGSC Storage Conditions for 10/15/2022,,SG
18,Computer System Status,10/14/2022 10:04:50 AM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,126219,Reminder: LINK System Maintenance this weekend (October 14 to October 17),,SG
19,Capacity Constraint,10/13/2022 02:05:35 PM,10/14/2022 09:00:00 AM,10/15/2022 09:00:00 AM,126167,SGSC Storage Conditions for 10/14/2022,,SG
20,Capacity Constraint,10/12/2022 02:58:00 PM,10/13/2022 09:00:00 AM,10/14/2022 09:00:00 AM,126144,SGSC Storage Conditions for 10/13/2022,,SG
21,Capacity Constraint,10/11/2022 02:34:00 PM,10/12/2022 09:00:00 AM,10/13/2022 09:00:00 AM,126109,SGSC Storage Conditions for 10/12/2022,,SG
22,Capacity Constraint,10/10/2022 03:40:36 PM,10/11/2022 09:00:00 AM,10/12/2022 09:00:00 AM,126061,SGSC Storage Conditions for 10/11/2022,,SG
